cid  ;ano;aaua;nvt;rm;abt;eec;cmp;pibpc;att;mert;dd;at;dsmc;fvt;meit;mct;cavt;mpet;vhd;meft;lat;vlc;vhct;mem;ipdm;mep;hiv;obit;bcg;hepa;hepb;poli;fa;dmt;rota;meni;pne;tri;tet;dtp;tpb;papi;cvdt;cvta;aaq;saldo;class
Borrazópolis;2014;2810;84;18927434,03;1;10785;1944;18265;13;1388;22,55;337,321;357,93;4427;270;118;419709;152;;819;1;;;299;0,6984;;;71;101,15;73,56;95,4;89,66;78,16;16847085,17;95,4;95,4;94,25;80,46;66,67;95,4;95,4;97,19;;;;2080348,86;positivo
Braganey;2014;1621;65;17106374,87;;7493;1231;27124;1;1495;16,83;342,758;536,03;3048;232;167;234946;65;;830;;1;;433;0,658;;;33;19,12;41,18;102,94;100;105,88;16507912,35;102,94;98,53;105,88;110,29;77,94;102,94;102,94;108,96;;;;598462,520000001;positivo
Brasilândia do Sul;2014;1087;48;;;6241;1058;42951;5;704;10,38;297,248;602,54;1553;148;71;166847;77;;444;;;;112;0,7279;;2;43;121,05;57,89;118,42;121,05;118,42;;118,42;126,32;118,42;142,11;63,16;118,42;118,42;109,23;;;;0;positivo
Cafeara;2014;965;27;13062228,53;;4328;223;16584;;579;15,44;184,738;491,01;1211;144;83;155110;61;;313;;;;122;0,7432;;;21;124;40;92;88;80;12332988,87;108;112;84;120;80;92;92;128,57;;;;729239,66;positivo
Cafelândia;2014;5682;268;52177767,14;4;147287;2637;61489;3;3553;60,11;271,527;539,35;10028;607;386;846029;221;;2186;;;2;760;0,8002;;8;61;60,1;45,67;76,92;58,65;59,13;45559297,13;68,27;70,67;49,52;71,63;15,87;76,92;76,92;3,62;;;;6618470,01;positivo
Cafezal do Sul;2014;1516;37;13848103,29;;6804;855;15340;5;862;13,12;328,597;596,36;2094;141;64;231647;77;2;518;;;2;203;0,6678;;;44;69,39;51,02;65,31;61,22;71,43;14105173,03;63,27;61,22;67,35;81,63;67,35;65,31;65,31;86,46;;;;-257069,74;negativo
Califórnia;2014;2685;137;17252176,83;1;15781;1467;13524;4;1722;59,57;142,094;348,6;4921;405;96;424709;309;;1032;;;2;285;0,746;;;58;229,47;90,53;144,21;144,21;145,26;17915984,65;164,21;158,95;148,42;142,11;101,05;145,26;144,21;112,5;75,79;;;-663807,82;negativo
Cambará;2014;8470;310;45668193,91;4;60004;2359;23280;52;5213;68,62;365,091;396,97;14804;833;419;1333801;414;1;2974;;1;3;1229;0,7022;177;5;191;99,66;71,14;126,85;109,73;82,55;50016407,71;108,72;124,83;120,81;131,21;73,49;127,18;126,85;108,7;24,83;1,68;;-4348213,8;negativo
Cambé;2014;39392;1311;205833271,6;8;241260;4823;32059;311;18912;207,68;496,122;392,93;56388;2604;724;6493006;1880;14;12145;1;;4;4057;0,7538;106;16;666;85,55;89,12;103,19;102,41;89,9;191852106,31;100,78;103,26;108,39;117,4;96,19;103,34;103,19;89,73;49,57;13,29;;13981165,29;positivo
Cambira;2014;2673;89;18076532,02;1;19064;1807;23785;8;1423;46,67;164,078;376,5;4670;354;205;430922;149;;825;;;5;244;0,7889;;;36;85,58;97,12;105,77;105,77;105,77;18063635,7;90,38;100;106,73;103,85;69,23;105,77;105,77;100,67;;;;12896,3200000003;positivo
Campina da Lagoa;2014;5202;230;34813160,01;4;23331;3679;22987;24;3430;19,25;797,598;494,29;7912;722;284;817449;438;2;1939;;1;2;719;0,7206;50;2;124;103,18;27,73;92,73;88,64;101,36;33446778,74;109,55;98,18;93,18;88,64;68,18;92,73;92,73;114,21;22,27;2,73;;1366381,27;positivo
Campina do Simão;2014;558;73;13384898,68;;3542;1254;20996;4;1118;9,11;451,311;308,89;1365;103;;83710;103;;800;;;;215;0,6537;;;21;198,33;121,67;198,33;198,33;155;12644150,18;211,67;200;200;148,33;118,33;198,33;198,33;161,74;45;1,67;;740748,5;positivo
Campina Grande do Sul;2014;13098;844;90860649,14;4;83501;191;25038;120;10688;76,66;540,631;32,24;21059;1538;476;2034858;1062;13;7222;;1;;1835;0,7189;93;6;258;117,88;15;112;114;138,88;91567976,14;128;121,75;111,5;162;77,25;111,63;111,63;131,57;40,38;7,75;;-707327;negativo
Campo Bonito;2014;966;78;14438904,67;;6074;1211;29268;4;1021;10,04;429,306;449,64;1831;206;141;132429;65;;605;;;;210;0,7358;;;28;7,25;2,9;50,72;49,28;31,88;15027750,72;63,77;56,52;50,72;26,09;24,64;50,72;50,72;3,94;;;;-588846,050000001;negativo
Campo do Tenente;2014;2179;128;19090250,52;1;13389;1667;20614;9;1802;25,05;304,291;95,7;3042;335;105;319079;230;;1137;;;5;330;0,6858;;1;38;93,22;49,15;103,39;101,69;67,8;18392524,37;112,71;118,64;122,88;123,73;110,17;103,39;103,39;210,76;72,88;38,14;;697726,149999999;positivo
Campo Largo;2014;37526;1807;234499651,66;7;305820;12089;30688;306;28336;95,47;1282,564;25,2;67667;4585;1614;6008869;2971;31;17407;1;;14;5285;0,7876;1059;17;723;118,69;35,26;115,94;116,34;124,48;212564385,75;149,48;104,87;96,22;184,75;81,77;115,94;115,94;559,4;48,11;;1;21935265,91;positivo
Campo Magro;2014;7443;408;61703592,07;2;28307;5311;10653;16;5758;97,56;278,224;19;11889;964;271;1165509;693;14;3747;;;2;1047;0,7311;;5;158;90,53;34,22;98,54;95,15;68,2;52451441,15;93,93;95,15;93,45;137,62;84,95;98,54;98,54;167,32;59,22;;;9252150,92;positivo
Campo Mourão;2014;36096;1387;220587359,67;11;288927;13228;30735;627;20684;120,87;763,637;447,18;59691;4379;1954;5770577;2425;27;11340;1;;1;4157;0,831;808;19;671;149,42;68,74;136,77;129,56;128,08;221635150,62;142,9;136,15;136,46;127,15;67,26;136,62;136,62;155,48;43,91;1,63;1;-1047790,95000002;negativo
Cândido de Abreu;2014;2286;240;32038532,38;2;18578;3184;16445;7;3413;10,88;1515,244;290,43;6091;226;102;332527;124;2;2473;;;1;714;0,5797;;1;102;179,5;67;149,5;149;143;33631580,9;158;148;149;126;109,5;149,5;149,5;98,62;103,5;15,5;;-1593048,52;negativo
Candói;2014;3172;249;48738116,7;2;30561;2124;24930;8;3817;10,43;1509,059;324,2;6530;374;69;469891;305;;2709;;;3;734;0,6564;;;90;100;40,17;89,74;84,62;75,64;48062816,92;86,32;83,76;88,46;90,6;66,24;89,74;89,74;66,53;0,85;;;675299,780000001;positivo
Cantagalo;2014;3153;173;25661166,91;2;13285;3684;13401;11;2993;23,01;583,52;329,2;4605;408;153;480072;255;3;2060;;;5;525;0,634;;2;83;96,22;65,95;101,08;97,3;101,62;24494259,3;83,24;94,59;97,84;109,73;64,32;101,08;101,08;71,43;;;;1166907,61;positivo
Capanema;2014;5151;212;;4;51578;880;26343;76;3913;45,85;419,403;558,45;10796;761;391;756781;370;4;2200;;;2;910;0,7512;42;3;160;99,55;17,65;98,64;90,95;85,97;;91,86;93,67;97,74;91,4;39,82;98,64;98,64;70;;;;0;positivo
Capitão Leônidas Marques;2014;4958;211;34863738,68;5;27780;1657;54745;15;3053;56,96;274,892;516,43;9437;362;66;725461;296;6;2003;;;8;688;0,7599;;1;103;70,23;67,44;74,42;64,65;67,91;34814013,57;77,67;74,88;74,42;66,05;38,14;73,49;73,49;93,38;;;;49725,1099999994;positivo
Carambeí;2014;5518;388;62427725,4;4;152142;204;59105;32;5241;32,9;645,422;135,28;10940;809;329;821953;480;5;3618;;;2;763;0,7841;51;;85;109,86;76,34;123,1;148,45;96,34;62756884,57;105,92;119,15;121,69;185,07;74,65;123,1;123,1;131,34;39,15;2,25;;-329159,170000002;negativo
Carlópolis;2014;4167;182;;3;20130;1237;16289;22;2938;31,82;449,079;360,58;7602;458;183;651341;275;1;1792;;;1;688;0,6985;;2;101;100;113,14;111,43;111,43;112;26297793,9;107,43;97,14;112;74,29;115,43;111,43;111,43;111,21;63,43;0,57;;-26297793,9;negativo
Cascavel;2014;111716;4900;607353813,77;41;780962;16783;29761;2012;69644;147,87;2091,401;491;201271;11612;4915;17457839;6697;77;40078;1;;61;14823;0,8383;3131;80;1620;146,79;69,83;107,87;107,46;94,39;560585188,35;94,3;106,92;103,11;125,5;75,11;107,98;107,87;98,64;47,19;10,76;2;46768625,42;positivo
Castro;2014;18707;1178;146873847,24;6;208766;10590;31932;122;18207;27,81;2533,247;156,6;35538;2328;1062;2928070;1266;15;11773;;1;14;3659;0,7529;447;8;448;98,59;72,47;99,59;99,75;89,22;134075402,93;97,18;96,85;98,26;127,11;63,52;99,59;99,59;123,54;54,73;;1;12798444,31;positivo
Catanduvas;2014;2185;136;25056101,12;3;15256;1997;19923;2;2143;17,75;589,604;468,67;4222;244;91;353583;153;3;1429;;;2;470;0,6755;;;62;71,54;57,72;100,81;91,87;70,73;23178769,2;92,68;94,31;98,37;89,43;26,83;100,81;100,81;86,22;;;;1877331,92;positivo
Centenário do Sul;2014;3914;116;22963881,4;2;15013;2322;12179;9;2085;30,58;371,01;472,36;5406;383;144;661594;239;2;1317;;;;385;0,7029;;1;90;96,12;50,39;75,19;31,78;62,02;22942574,95;84,5;79,84;64,34;83,72;1,55;74,42;74,42;69,29;;;1;21306,4499999993;positivo
Cerro Azul;2014;2921;242;37941650,03;3;13409;4193;12176;16;3782;13,19;1341,323;84,56;6523;244;77;437736;167;5;2928;;;;610;0,5574;;2;138;110,26;87,18;107,69;110,26;108,12;31399834,19;98,72;98,29;106,41;101,28;94,02;107,69;107,69;82,3;66,24;17,09;;6541815,84;positivo
Céu Azul;2014;3539;139;37080891,94;4;43842;1104;42316;15;2449;9,82;1180,163;542,1;7127;573;325;550347;248;3;1447;;;9;429;0,7677;;1;83;30,82;52,05;79,45;77,4;60,96;38643874,72;86,99;91,1;77,4;67,12;17,81;79,45;79,45;86,74;;;;-1562982,78;negativo
Chopinzinho;2014;5444;269;60331973,78;5;46270;4777;25526;5;4685;20,89;959,18;394,05;11277;821;323;805269;498;;2854;;;11;950;0,7902;60;;118;96,69;82,72;96,69;96,69;97,79;62021705,83;100,74;99,26;96,69;93,75;84,56;96,69;96,69;92,02;53,31;;;-1689732,05;negativo
Cianorte;2014;28471;1020;166892562,61;6;220900;12250;29245;709;15748;94,48;809,232;501,26;52243;2902;1517;4629212;1385;9;9260;1;;21;3193;0,8326;393;20;453;107,09;77,55;106,12;92,42;93;161739897,57;105,44;99,32;100,87;101,36;66,28;106,71;105,73;103,24;7,48;0,39;1;5152665,04000002;positivo
Cidade Gaúcha;2014;3974;173;;4;31241;2986;26636;21;2612;29,57;403,636;561,84;6080;578;224;645860;354;3;1584;;;5;450;0,7427;;1;83;126,47;93,38;111,76;107,35;100,74;;108,09;99,26;110,29;115,44;97,79;111,76;111,76;103,73;;;;0;positivo
Clevelândia;2014;5575;292;36786478,29;5;25617;2980;21866;46;4482;24,8;703,104;410,4;8484;429;244;817489;185;6;2847;;;6;1056;0,6125;150;1;137;116,54;52,94;106,99;92,28;81,99;35967258,97;91,54;94,85;100,74;116,18;67,28;106,62;106,62;94,3;41,54;;;819219,32;positivo
Colombo;2014;74932;3820;;14;381518;31795;18963;439;49649;1162,11;197,805;17,3;112980;9494;4021;12076278;5473;107;32239;;1;14;7846;0,7174;70;37;1275;99,09;53,17;96,03;97,18;74,65;;90,78;97,94;104,42;135,69;72,28;96,03;96,03;221,59;60,2;0,57;;0;positivo
Colorado;2014;9206;277;56504752,4;4;55924;2673;25549;61;4245;58,31;403,741;503,36;15045;534;306;1846000;228;2;2790;1;;6;830;0,7923;91;2;141;103,33;33,7;90;82,59;84,44;55868550,8;95,56;95,56;88,52;89,63;58,52;88,15;88,15;84,21;2,59;;1;636201,600000002;positivo
Congonhinhas;2014;1928;119;20202939,57;1;9570;862;14296;16;1891;16,33;532,329;349,84;3228;280;97;287725;183;1;1174;;1;5;437;0,6688;;2;78;96,72;26,23;110,66;110,66;110,66;11698647,99;96,72;105,74;105,74;125,41;;110,66;110,66;114,65;59,84;;;8504291,58;positivo
Conselheiro Mairinck;2014;1138;55;11868086,39;;4796;683;19323;11;877;18,65;204,494;324,14;1415;127;72;164875;55;2;491;;;;259;0,678;;;31;154,84;58,06;183,87;177,42;170,97;10376280,78;193,55;180,65;187,1;158,06;158,06;183,87;183,87;86,17;61,29;;1;1491805,61;positivo
Contenda;2014;4393;248;36914524,16;4;23020;3027;14307;21;3477;57,56;300,569;49;8954;496;165;646013;331;1;2467;;;;514;0,7047;;;84;103,59;51;105,98;103,59;95,22;36859935,42;94,42;110,36;109,16;140,64;88,45;105,98;105,98;184,21;48,61;2,39;;54588,7399999946;positivo
Corbélia;2014;5639;254;44888907,11;5;36195;3446;30160;26;3578;32,18;528,715;515,2;10656;677;250;888725;427;2;2124;;;4;749;0,7797;28;1;96;20,09;57,94;97,66;91,59;92,99;42073453,2;110,75;105,61;99,07;87,38;60,75;98,6;97,66;95,78;;;;2815453,91;positivo
Cornélio Procópio;2014;18212;543;99583343,61;7;137685;3356;26522;472;9407;76;637,946;394,53;30331;1363;559;2975479;804;5;5672;1;1;5;2065;0,8097;307;;338;108,91;53,27;109,31;109,11;95,25;92185260,49;108,12;114,65;112,08;120;104,36;109,11;109,11;92,48;63,56;14,06;2;7398083,12;positivo
Coronel Domingos Soares;2014;942;105;22894605,78;;17174;600;21597;4;1707;4,85;1557,942;404,46;2002;222;153;134294;69;1;1209;;;;276;0,6251;;;29;96,55;68,1;100;131,03;100;22044854,77;82,76;96,55;98,28;213,79;112,07;107,76;98,28;94,49;50,86;12,93;;849751,010000002;positivo
Coronel Vivida;2014;6213;315;50649460,04;4;61562;3618;25468;65;4397;32,11;683,252;404,93;12553;711;309;960314;402;4;2721;;;5;953;0,7621;12;1;153;101;80,33;108;108,33;112,33;55779605,97;107,33;106,33;113,33;119,33;79,33;108;108;97,56;25,67;;;-5130145,93;negativo
Corumbataí do Sul;2014;1037;34;13587958,9;;4404;405;13698;2;809;22,52;169,528;447,82;1840;134;51;146315;83;;521;;;;154;0,6498;;;35;95,24;38,1;76,19;64,29;64,29;14015358,08;61,9;59,52;66,67;80,95;69,05;76,19;76,19;108,99;4,76;;;-427399,18;negativo
Cruz Machado;2014;2075;250;;3;17229;2614;17362;20;4295;12,69;1477,372;287,44;8978;418;146;310033;272;1;2925;;;2;952;0,681;;;116;130,35;25,37;116,92;118,91;97,01;;113,93;121,89;114,93;119,9;41,79;116,92;116,92;92,96;4,48;;;0;positivo
Cruzeiro do Iguaçu;2014;1323;59;17914965,99;;12053;1111;20072;6;974;27,28;160,576;463,99;2099;149;;197729;149;2;670;;;;155;0,6964;;;25;103,45;84,48;103,45;96,55;89,66;16272136,29;98,28;96,55;105,17;112,07;70,69;103,45;103,45;114,68;;;1;1642829,7;positivo
Cruzeiro do Oeste;2014;7706;287;45241932,52;5;46466;4585;28399;123;4259;27,05;781,959;551,24;11554;950;448;1336231;502;4;2368;;;5;826;0,7451;115;3;215;103,41;53,41;101,14;98,48;83,71;43946805,87;99,24;105,3;101,14;96,59;54,92;100,38;100,38;73,58;;;;1295126,65000001;positivo
Cruzeiro do Sul;2014;1359;80;16817941,04;1;8822;145;29592;3;935;17,93;259,148;492,42;2650;183;60;213274;123;1;578;;;;174;0,75;;;33;133,96;90,57;103,77;100;81,13;18562003,42;118,87;130,19;88,68;86,79;54,72;105,66;103,77;97,83;;;;-1744062,38;negativo
Cruzmaltina;2014;690;42;12126725,29;;5052;917;26971;;555;10,37;305,359;339,13;1295;109;37;106892;72;;331;;;1;115;0,6695;;;26;191,67;22,22;111,11;111,11;58,33;12123003,82;111,11;108,33;113,89;88,89;77,78;111,11;111,11;64,86;55,56;;;3721,46999999881;positivo
Curitiba;2014;751619;24815;6675341575,96;397;4951764;250261;42315;11287;390193;4281,14;435,495;;1406049;65933;38032;128278838;27901;569;226455;25;10;172;79784;0,8811;18021;489;10212;104,63;83,96;91,12;91,81;1,16;6422553199,79;93,66;95,36;94,22;112,89;82,97;91,71;90,71;167,15;28,52;3,55;1;252788376,17;positivo
Curiúva;2014;3718;140;29137352,92;3;16246;1925;12136;14;2918;25,67;573,465;281,02;5607;221;38;555125;183;1;2076;;;1;621;0,6282;;1;101;67,54;13,61;69,63;65,45;71,2;27411422,05;64,92;68,06;69,63;80,63;46,6;69,63;69,63;80,38;;;;1725930,87;positivo
Diamante D'Oeste;2014;1205;76;16136963,32;;6724;292;17024;5;1169;16,96;309,147;576,7;2000;171;92;177364;79;2;792;;;;206;0,6854;;;35;102,82;66,2;116,9;115,49;108,45;15526292,38;98,59;88,73;115,49;125,35;95,77;116,9;115,49;128,19;67,61;11,27;;610670,939999999;positivo
Diamante do Norte;2014;1771;50;16688968,24;1;6799;1133;36774;4;1309;22,61;243,257;583,17;3163;209;78;316180;131;2;645;;;4;455;0,7202;;;41;83,87;59,68;75,81;82,26;82,26;15701206,51;72,58;64,52;82,26;95,16;67,74;75,81;75,81;76,34;;;1;987761,73;positivo
Diamante do Sul;2014;560;49;11485535,31;;2963;1229;11468;;872;10,33;345,981;411,38;1147;95;35;83008;60;;584;;;1;193;0,6222;;;14;9,43;56,6;83,02;79,25;71,7;10777525,79;90,57;88,68;83,02;69,81;43,4;83,02;83,02;80;3,77;3,77;;708009,520000001;positivo
Dois Vizinhos;2014;13118;593;86837945,65;5;170207;3822;34027;147;8709;92,52;419,017;464,14;25576;1551;613;1904740;938;8;5169;1;1;9;1881;0,8076;108;1;221;100,34;50,09;89,57;87,69;83,76;80117764,71;88,72;91,79;90,26;103,08;83,59;89,4;89,4;91,95;54,02;;1;6720180,94000001;positivo
Douradina;2014;3062;115;22016760,15;2;18115;1151;53260;19;1794;19,32;420,255;609,53;5107;429;191;500795;238;1;1026;;;;339;0,8578;;4;48;93,91;76,52;95,65;92,17;92,17;17657564,81;93,91;102,61;94,78;111,3;53,04;95,65;95,65;120,34;;;;4359195,34;positivo
Doutor Camargo;2014;2309;60;14073355,79;1;9894;565;19611;13;1037;51,05;118,233;477,58;3677;259;146;375467;113;;534;1;;3;244;0,7287;;;42;40,98;62,3;106,56;101,64;90,16;14426937,15;106,56;106,56;108,2;95,08;54,1;106,56;106,56;112,26;;;;-353581,360000001;negativo
Doutor Ulysses;2014;885;65;13171116,3;;3133;1372;10560;4;1554;7,39;787,32;131,45;1280;61;10;84000;51;4;1186;;;;307;0,5745;;;25;90,16;59,02;109,84;109,84;140,98;13506897,52;85,25;113,11;104,92;183,61;132,79;109,84;109,84;138,19;73,77;;;-335781,219999999;negativo
Enéas Marques;2014;798;75;18209959,75;1;21954;1084;28063;2;1347;32,09;193,461;498,62;3628;152;46;122967;106;1;930;;;3;265;0,7387;;;39;159,09;42,42;139,39;63,64;103,03;23099096,98;150;142,42;116,67;130,3;62,12;137,88;137,88;173,05;30,3;;;-4889137,23;negativo
Engenheiro Beltrão;2014;5283;191;33158759,91;4;24998;2664;22809;29;2874;30,47;469,424;456,91;7616;656;294;861045;362;1;1686;;;7;532;0,7298;;3;87;155,28;39,13;171,43;153,42;124,84;33542817,7;176,4;148,45;168,94;131,06;77,64;170,81;170,81;132,01;38,51;;1;-384057,789999999;negativo
Entre Rios do Oeste;2014; ;51;26101444,83;1;16953;630;43876;10;888;35,36;120,327;610,55;2766;203;134;;69;2;545;;;2;140;0,8463;;1;23;87,72;70,18;112,28;112,28;91,23;26586882,95;107,02;98,25;115,79;77,19;82,46;112,28;112,28;98,77;26,32;33,33;;-485438,120000001;negativo
Esperança Nova;2014;572;35;10046890,75;;3766;515;15611;;376;13,5;142,358;639;1107;91;50;91080;41;;217;;;;68;0,7935;;;20;96;12;60;52;24;9120520,96;64;84;60;28;16;60;60;11,36;4;4;;926369,789999999;positivo
Espigão Alto do Iguaçu;2014;755;63;15302556,63;;6430;864;19442;;1138;14,31;320,87;419,4;1630;117;57;109574;60;1;813;;;2;208;0,629;;1;31;80,52;24,68;77,92;71,43;62,34;15266037,23;68,83;68,83;66,23;88,31;59,74;79,22;77,92;105,47;;;;36519,4000000004;positivo
Farol;2014;831;51;13709624,99;;5603;887;34626;4;745;11,74;291,6;472,62;1479;177;46;124120;131;;429;;;;139;0,7178;;;18;218,18;48,48;151,52;151,52;109,09;12753972,52;172,73;169,7;148,48;127,27;90,91;151,52;151,52;70;9,09;;;955652,470000001;positivo
Faxinal;2014;5771;279;34267129,05;5;29901;5687;19297;55;3618;23,94;713,68;323,85;8750;476;168;933534;308;3;2359;;;5;783;0,6511;;;138;104,51;54,51;106,56;195,08;104,92;31616779,21;115,57;118,03;107,79;107,38;68,44;106,56;106,56;140,52;40,98;1,64;1;2650349,84;positivo
Fazenda Rio Grande;2014;36026;1785;;6;188731;16316;18641;134;25009;785,67;115,377;31,35;38840;3498;1101;5362828;2397;49;16246;2;2;8;4889;0,7125;376;19;510;112,27;61,8;98,62;101,11;88,39;;96,63;102,71;101,55;130,74;70,43;98,62;98,62;174,75;56,5;4,86;;0;positivo
Fênix;2014;1613;62;;1;6001;361;22553;4;1001;21,01;233,811;423;2254;174;48;267927;126;;545;;;2;282;0,6447;;1;40;107,14;73,21;107,14;105,36;96,43;;100;107,14;107,14;105,36;83,93;107,14;107,14;98,21;;;;0;positivo
Fernandes Pinheiro;2014;952;74;21375784,31;1;9750;1456;22250;8;1385;14,71;406,633;149,81;2279;169;60;134945;109;1;956;;;2;260;0,6963;;;42;79,09;20,91;90;90;89,09;19945365,28;75,45;86,36;90;89,09;40,91;90;90;151,96;39,09;0,91;1;1430419,03;positivo
Figueira;2014;2955;93;18196950,87;1;14832;1201;14245;6;1793;64,01;129,905;303,16;3374;213;61;465409;152;1;1177;;;;403;0,69;;1;55;90,65;32,71;79,44;75,7;;17251468,6;78,5;80,37;79,44;115,89;89,72;80,37;79,44;115,21;57,94;7,48;;945482,27;positivo
Flor da Serra do Sul;2014;921;66;;;7273;1296;19919;1;1087;18,92;254,27;514,7;2287;192;70;123521;122;;680;;;4;215;0,7096;;;20;146,15;90,38;142,31;144,23;126,92;;130,77;132,69;126,92;165,38;65,38;142,31;142,31;110,22;;;;0;positivo
Floraí;2014;2122;56;18120750,45;2;10937;852;28394;5;886;26,95;190,644;470,73;3101;224;105;348676;119;;481;;;;181;0,781;;;40;130,61;30,61;116,33;112,24;95,92;15650671,94;124,49;130,61;112,24;134,69;65,31;116,33;116,33;78,57;4,08;;;2470078,51;positivo
Floresta;2014;2434;91;19321968,84;1;11938;700;20759;9;1309;39,49;162,007;445,47;4533;385;147;406324;238;2;670;;;4;254;0,7374;;1;37;26,92;34,62;106,41;106,41;91,03;17224714,52;89,74;117,95;107,69;108,97;57,69;106,41;106,41;109,4;39,74;;;2097254,32;positivo
Florestópolis;2014;4191;171;;2;24524;2576;18358;11;2191;45,17;249,394;455,76;4859;476;136;689859;340;2;1316;;;2;399;0,7629;;;81;102,65;78,81;100,66;86,75;81,46;;105,96;105,96;98,01;92,05;65,56;100,66;100,66;107,69;6,62;;1;0;positivo
Flórida;2014; ;32;12796176,96;1;4758;379;15745;;549;32,02;83,14;458,54;1483;129;66;;63;;318;;;1;102;0,792;;1;11;96,97;60,61;78,79;75,76;81,82;12222246,91;87,88;87,88;78,79;109,09;87,88;78,79;78,79;101,69;;;;573930,050000001;positivo
Formosa do Oeste;2014;2209;86;17292446,24;2;19649;1427;27671;7;1257;26,83;275,076;564,71;5177;240;111;357249;129;;697;;;;273;0,6931;47;;60;96,81;34,04;71,28;68,09;62,77;16689268,86;77,66;80,85;71,28;64,89;56,38;72,34;71,28;100;;;;603177,379999999;positivo
Foz do Iguaçu;2014;98648;4501;638237571,46;24;573248;26589;33079;1914;63615;432,06;610,209;630,2;155196;8746;2904;17453289;5842;90;39798;2;;56;12548;0,7671;2523;83;1520;115,35;59,04;98,88;101,96;88,91;653937640,33;93,35;97,56;94,54;104,26;57,17;98,86;98,86;90,38;53,85;4,99;2;-15700068,87;negativo
Foz do Jordão;2014;1765;83;16700222,39;;5250;713;15445;;1337;22,59;233,631;352,27;2079;193;56;251256;137;3;953;;;1;191;0,6484;;;32;190,41;69,86;167,12;167,12;168,49;17374471,31;160,27;169,86;175,34;191,78;141,1;167,12;167,12;193,33;;;;-674248,919999998;negativo
Francisco Alves;2014;2240;97;17568634,72;;11157;727;19232;5;1407;20,1;320,765;635,46;3477;289;53;345589;236;1;879;;;4;239;0,668;;;50;97,78;32,22;87,78;84,44;73,33;17217128,26;91,11;101,11;88,89;80;30;87,78;87,78;87,23;11,11;4,44;;351506,459999997;positivo
Francisco Beltrão;2014;29689;1225;182837977,77;7;249156;15171;28129;867;19175;116,83;731,731;474,41;53538;3258;1422;4532284;1836;14;10887;;;31;4183;0,8124;847;14;461;101,69;35,36;88,16;76,9;72,17;178933569,12;89,68;89,76;87,73;80,54;41,88;88,16;87,99;88,13;;;1;3904408,65000001;positivo
General Carneiro;2014;3266;228;33605222,13;3;17569;2754;19353;5;3190;13,1;1072,013;278,4;5475;259;94;475078;165;1;2311;;;6;620;0,6468;;2;73;95,19;54,81;105,29;96,15;66,83;30297430,53;103,37;99,04;101,92;111,06;55,77;105,29;105,29;101,14;24,04;;;3307791,6;positivo
Godoy Moreira;2014;829;31;11988526,2;;3229;263;12228;1;590;24,75;132,467;435,96;1413;115;27;120035;88;;345;;;;130;0,642;;;25;75,68;37,84;78,38;78,38;78,38;12670041,28;81,08;64,86;86,49;91,89;62,16;78,38;78,38;127,16;13,51;;;-681515,08;negativo
Goioerê;2014;10609;383;62364544,65;4;69514;2800;21534;131;6152;52,51;566,028;517,94;16757;1184;820;1726571;364;5;3595;;;1;1235;0,7169;138;;221;130,87;68,17;122,19;112,54;112,22;63937809,46;109,65;126,05;124,44;150,8;63,02;121,54;121,22;103,76;2,57;;2;-1573264,81;negativo
Goioxim;2014;836;87;17420910,21;;6838;1278;18732;1;1874;10,77;701,594;328,07;2174;197;76;120451;121;3;1371;;;;306;0,6064;;3;43;107,08;48,67;107,08;108,85;103,54;17424181,85;107,08;103,54;91,15;107,96;67,26;109,73;101,77;98,42;18,58;;;-3271,6400000006;negativo
Grandes Rios;2014;1673;102;14860653,5;1;7605;1181;13700;3;1293;21,05;305,183;359,2;2701;186;111;257711;75;1;825;;;;282;0,6613;;;43;112,79;48,84;94,19;88,37;84,88;14802775,58;100;110,47;96,51;127,91;40,7;93,02;93,02;77,54;;;;57877,9199999999;positivo
Guaíra;2014;10610;469;79219724,73;4;72366;882;22628;183;7272;56,95;568,845;679,86;22593;1145;323;1827427;822;18;4748;;;9;1293;0,6892;86;6;228;102,94;72,35;102,16;76,86;86,08;73369646,97;108,04;108,04;101,57;100,59;68,63;102,16;102,16;93,01;61,96;17,65;1;5850077,76000001;positivo
Guairaçá;2014;2060;85;16051325,06;;10485;1341;24908;15;1277;13,17;493,553;527,06;2921;210;98;331800;112;3;823;;;4;244;0,6568;;;38;44,21;94,74;83,16;83,16;24,21;15830680,87;77,89;84,21;85,26;90,53;57,89;83,16;83,16;97,96;;;;220644,190000001;positivo
Guamiranga;2014;1197;119;21563837,52;;12126;2317;21625;3;1813;34,61;243,157;191,7;3791;196;97;174137;99;1;1173;;;2;444;0,6823;;1;68;114,85;25,74;122,77;112,87;87,13;20086499,8;135,64;124,75;127,72;105,94;99,01;122,77;122,77;91,91;62,38;0,99;;1477337,72;positivo
Guapirama;2014;1384;50;13715574,94;;9580;1239;22447;2;958;20,94;189,03;345,85;1733;178;124;201336;54;1;558;;;;222;0,6855;;1;32;87,27;70,91;96,36;83,64;98,18;14460357,71;81,82;100;105,45;100;100;96,36;96,36;87,62;78,18;27,27;;-744782,770000001;negativo
