cid  ;ano;aaua;nvt;rm;abt;eec;cmp;pibpc;att;mert;dd;at;dsmc;fvt;meit;mct;cavt;mpet;vhd;meft;lat;vlc;vhct;mem;ipdm;mep;hiv;obit;bcg;hepa;hepb;poli;fa;dmt;rota;meni;pne;tri;tet;dtp;tpb;papi;cvdt;cvta;aaq;saldo;class
Cambé;2011;35161;1271;120348958;8;227845;12488;21654;534;19947;196,3;496,122;392,93;46275;2679;580;5886441;2099;;13209;;;;4015;0,7502;44;15;595;98,16;;111,04;111,04;103,24;113515825;107,19;144,08;107,8;109,64;;109,99;;;;;;6833133;positivo
Cambira;2011;2158;105;14270509,14;1;16160;1739;15298;13;1302;44,36;164,078;376,5;3886;224;106;352650;118;;831;;;;247;0,7624;;2;49;119,28;;124,1;120,48;103,61;13667853,02;107,23;134,94;108,43;92,77;;118,07;;;;;;602656,120000001;positivo
Campina da Lagoa;2011;4712;206;24237134,77;4;19174;3909;14041;29;3674;19,14;797,598;494,29;6077;539;208;735681;331;;2272;;;;723;0,6727;140;;122;105,95;;123,78;125,41;131,89;22081902,29;119,46;131,35;114,05;131,89;;125,41;;;;;;2155232,48;positivo
Campina do Simão;2011;494;54;8873802,41;;2787;1163;13961;5;1133;8,98;451,311;308,89;1037;71;;72440;71;;904;;;;158;0,5668;;;18;113,04;;95,65;89,13;95,65;9254857,26;82,61;95,65;82,61;67,39;;91,3;;;;;;-381054,85;negativo
Campina Grande do Sul;2011;11104;717;63386229,09;4;80772;3999;20715;137;9944;72,31;540,631;32,24;16798;1297;511;1705545;786;;7140;;;;1507;0,7014;;9;282;109,61;;77,86;95,96;83,84;60636597,24;73,96;109,89;84,68;85,38;;98,75;;;;;;2749631,85;positivo
Campo Bonito;2011;884;50;12355352,69;;5058;866;22309;2;1099;10,14;429,306;449,64;1452;140;48;124359;92;;720;;;;239;0,6816;;;33;4,48;;64,18;61,19;71,64;13390534,88;79,1;71,64;49,25;68,66;;61,19;;;;;;-1035182,19;negativo
Campo do Tenente;2011;1850;123;14514742,46;1;11774;2164;16486;23;1836;23,62;304,291;95,7;2371;258;64;269665;194;;1304;;;;274;0,6377;;;45;61,79;;96,75;103,25;77,24;13100080,22;92,68;144,72;112,2;100;;106,5;;;;;;1414662,24;positivo
Campo Largo;2011;33004;1711;142320451,41;7;266909;11401;19525;751;27901;88,79;1282,564;25,2;55627;3697;1217;5230197;2480;;18452;;;;5040;0,7664;712;15;742;117,51;;94,92;97,19;60,49;145793161,19;90,79;116,74;89,48;87,03;;98,03;;;;;;-3472709,78;negativo
Campo Magro;2011;6397;464;37846985,13;1;25709;5172;8973;27;5888;90,52;278,224;19;9193;815;249;1011951;566;;4144;;;;929;0,6784;;;147;109,07;;101,04;104,15;86,27;37162916,21;84,46;96,89;69,43;98,19;;102,33;;;;;;684068,920000002;positivo
Campo Mourão;2011;32535;1219;160618743,64;9;234390;13390;23072;1071;21079;114,86;763,637;447,18;49478;4004;1254;5175687;2750;;12020;;;;4436;0,725;619;19;620;124,37;;98,83;112,18;99,55;150442550,49;93,14;120,49;95,04;102,8;;111,46;;;;;;10176193,15;positivo
